id,name,city,lon,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1302A,济南化工厂,济南,116.989,36.6872,20180531,43.45,2710.0,6966.0,1784026.6637681874,1003740.994475029,29,1.4212089776992798,208.31124877929688,293.6856994628906,100139.8046875,0.0011155097745358944,235.14898681640625,-1.7856635167845525e-05,58.805973052978516,-0.6740059852600098,1.2512197494506836,0.5893649458885193,2690
1303A,省种子仓库,济南,117.0684,36.6868,20180531,44.91379310344828,2710.0,6979.0,1790370.9167291156,1005137.8969206831,39,1.4195070266723633,207.267578125,293.4743957519531,99853.6953125,0.0011689827078953385,230.95733642578125,-1.6604240954620764e-05,59.571292877197266,-0.6503245830535889,1.2617758512496948,0.6306536197662354,2618
1304A,机床二厂,济南,116.943,36.6489,20180531,52.806451612903224,2716.0,6959.0,1781385.1031714054,998379.1373206386,38,1.4051531553268433,209.30545043945312,293.63720703125,100061.9765625,0.0011480337707325816,233.7130584716797,-1.7382997612003237e-05,59.40098571777344,-0.687755286693573,1.2253358364105225,0.6205164790153503,2697
1305A,市监测站,济南,117.049,36.6622,20180531,41.862068965517246,2714.0,6976.0,1789487.1215658952,1001877.217053345,70,1.401131272315979,207.47703552246094,293.4109191894531,99742.1171875,0.0011742511996999383,229.819091796875,-1.6585854609729722e-05,60.07051086425781,-0.6464548110961914,1.2430869340896606,0.6107964515686035,3032
1306A,长清党校,济南,116.734,36.5336,20180531,45.225806451612904,2735.0,6925.0,1767762.8439382664,980973.8370162379,54,1.424731969833374,215.86875915527344,293.7677001953125,100180.875,0.0013064260128885508,232.82933044433594,-1.6797512216726318e-05,59.84405517578125,-0.8347726464271545,1.154563069343567,0.6376917958259583,4139
1308A,李沧区子站,青岛,120.3905,36.1851,20180531,34.875,2790.0,7510.0,2069799.1065319313,1011370.8825317223,28,1.9386030435562134,192.30487060546875,288.9369812011719,100544.3515625,0.001351995742879808,169.4456024169922,-1.0295652828062885e-05,72.36227416992188,-0.41313058137893677,1.8940709829330444,0.553284764289856,3041
1314A,黄岛区子站,青岛,120.1964,36.3083,20180531,32.17741935483871,2771.0,7479.0,2050541.989239961,1021729.4567898654,5,1.4242020845413208,195.5067596435547,289.9232177734375,101020.5703125,0.0012152589624747634,175.9679412841797,-1.4474342606263235e-05,70.14460754394531,-0.38075247406959534,1.3723626136779785,0.5548133850097656,3977
1315A,城阳区子站,青岛,120.4001,36.2403,20180531,26.951612903225808,2782.0,7512.0,2068855.455110736,1018035.3542174291,23,1.7723278999328613,193.52847290039062,289.16363525390625,100571.5703125,0.001232840702868998,171.13278198242188,-1.1391357475076802e-05,72.69279479980469,-0.41458600759506226,1.7231553792953491,0.5308805108070374,2827
1316A,烟厂,郑州,113.681,34.7545,20180531,46.74193548387096,3019.0,6437.0,1563346.6509027067,718598.0309264403,101,1.0693399906158447,198.97218322753906,295.0031433105469,99698.6484375,0.000974646769464016,256.6925354003906,-1.7045618733391166e-05,60.440704345703125,-0.3476422429084778,1.0112531185150146,0.7597692012786865,3098
1317A,郑纺机,郑州,113.641,34.7745,20180531,47.854838709677416,3016.0,6431.0,1559584.4686567246,720331.927855063,103,1.0527689456939697,200.7682342529297,295.00439453125,99703.75,0.00097871373873204,253.26577758789062,-1.7535399820189923e-05,60.09822082519531,-0.3732895255088806,0.9843665361404419,0.717723548412323,2376
