bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,lon,lat
0.996,0.999,0.5545,0.9785,0.688,0.935,0.994,0.424,0.9365,0.996
0.6425,0.185,0.689,0.338,0.409,0.939,0.984,0.5425,0.515,0.8645
0.984,0.9625,0.8925,1.0,0.5545,0.941,0.99,0.9685,0.553,1.0
0.9985,1.0,0.9645,0.9975,0.925,0.929,0.9945,0.906,0.996,1.0
1.0,1.0,0.954,1.0,0.947,0.9815,0.997,0.948,0.9735,1.0
0.988,0.991,0.593,1.0,0.2075,0.961,0.9955,0.3555,0.916,0.9975
0.943,0.9945,0.6025,1.0,0.7475,0.9065,0.9965,0.908,0.995,0.9995
0.9975,1.0,0.7335,1.0,0.3095,0.958,0.998,0.833,0.993,0.999
0.898,0.7885,0.5055,0.572,0.0775,0.693,0.181,0.808,0.9585,0.9975
0.741,0.3225,0.955,1.0,0.7465,0.838,0.989,0.956,0.9315,0.8725
0.995,0.9975,0.9725,1.0,0.4665,0.9205,0.987,0.9775,0.981,1.0
0.9955,1.0,0.829,1.0,0.8115,0.9445,0.9885,0.692,0.9465,1.0
0.9585,0.948,0.168,0.643,0.4405,0.872,0.96,0.769,0.9595,0.992
1.0,0.9995,0.999,1.0,0.9825,0.942,0.9925,1.0,0.949,1.0
0.929,0.8865,0.5055,0.995,0.2745,0.958,0.9975,0.473,0.96,1.0
0.972,0.998,0.978,1.0,0.1375,0.955,0.995,0.9875,0.9995,1.0
0.74,0.8995,0.769,0.999,0.4015,0.8855,0.9915,0.499,0.8865,0.971
0.9955,1.0,0.995,1.0,0.9685,0.9425,0.995,0.9995,0.996,1.0
1.0,1.0,0.978,1.0,0.7865,0.9455,0.997,1.0,0.998,1.0
0.993,1.0,0.884,1.0,0.9085,0.9465,0.9925,0.9485,0.9985,1.0
0.9995,1.0,0.968,1.0,0.6625,0.977,1.0,0.976,0.9965,0.9985
0.4965,0.287,0.525,0.3145,0.2885,0.818,0.9465,0.4345,0.428,0.7245
0.9215,0.973,0.6275,1.0,0.428,0.899,0.9965,0.936,0.9835,0.997
0.9845,0.9915,0.9565,0.997,0.9385,0.941,0.996,0.996,0.9995,1.0
0.988,0.9775,0.945,0.999,0.959,0.869,0.988,0.872,0.9925,1.0
0.967,0.9965,0.9855,1.0,0.1225,0.95,0.9965,0.995,0.9825,0.9995
0.9175,0.936,0.7655,1.0,0.8975,0.877,0.9975,0.983,0.5495,0.992
0.3835,0.3605,0.6335,0.251,0.503,0.7375,0.9505,0.4005,0.547,0.4315
0.7975,0.9255,0.669,1.0,0.687,0.8025,0.962,0.9135,0.895,1.0
0.9945,0.988,0.998,1.0,0.7585,0.914,0.9795,0.981,0.8795,1.0
0.998,0.999,0.9225,1.0,0.411,0.939,1.0,0.708,0.944,1.0
0.9995,0.9995,0.901,1.0,0.819,0.946,0.9965,0.6565,0.9915,0.997
0.999,0.998,0.8305,1.0,0.589,0.95,0.996,0.9505,0.9065,0.9995
0.7135,0.886,0.898,1.0,0.3865,0.802,0.9705,0.6755,0.957,0.998
0.9665,0.971,0.7355,1.0,0.5525,0.9105,0.9955,0.4355,0.956,0.9985
0.876,0.3965,0.707,0.7305,0.5485,0.764,0.9445,0.615,0.285,0.968
0.6595,0.838,0.711,0.9885,0.286,0.7165,0.9935,0.614,0.7905,0.946
0.7825,0.9475,0.9245,0.9175,0.6055,0.9225,0.9725,0.854,0.9795,1.0
0.9995,0.9985,0.939,1.0,0.796,0.961,0.9915,0.984,0.869,1.0
1.0,0.9985,0.998,1.0,0.974,0.9635,0.995,0.996,0.997,1.0
0.9975,1.0,0.944,1.0,0.878,0.9365,0.991,0.998,0.953,1.0
0.854,0.844,0.97,1.0,0.9135,0.8725,0.997,0.9885,0.973,0.9545
0.9995,0.992,0.9535,0.9985,0.834,0.8665,0.248,0.911,0.9935,0.9995
0.9365,0.8415,0.9495,0.991,0.494,0.9005,0.9775,0.822,0.92,0.9995
0.5035,0.9795,0.9445,0.9755,0.7635,0.892,0.998,0.814,0.988,0.995
0.9985,1.0,0.994,1.0,0.8645,0.87,0.9915,0.986,0.9955,1.0
0.9965,0.999,0.9865,1.0,0.9675,0.9415,1.0,0.9945,0.9755,1.0
0.998,0.999,0.9955,1.0,0.455,0.866,0.991,0.992,1.0,0.9985
0.979,0.8725,0.9865,1.0,0.176,0.917,0.9985,0.9795,0.9885,1.0
1.0,1.0,0.9945,1.0,0.982,0.95,0.9975,1.0,0.9995,1.0
0.6865,0.757,0.952,1.0,0.666,0.766,0.98,0.931,0.962,1.0
1.0,0.9995,0.8915,1.0,0.8455,0.9455,0.998,0.919,0.9635,1.0
0.3985,0.8555,0.8145,0.999,0.8205,0.735,0.9905,0.9715,0.996,1.0
0.999,1.0,0.9915,1.0,0.578,0.958,0.9975,0.992,0.8535,1.0
0.986,1.0,0.7885,1.0,0.6285,0.941,0.9905,0.9275,0.9965,1.0
0.9965,1.0,0.9575,1.0,0.4855,0.952,0.996,0.954,0.988,0.999
0.999,0.9985,0.612,1.0,0.7815,0.89,0.999,0.5165,0.989,1.0
0.9985,0.997,0.997,0.998,0.78,0.9105,0.9965,0.9415,0.834,0.997
0.9995,0.9845,0.949,1.0,0.782,0.91,0.9975,0.9575,0.98,0.9245
0.789,1.0,0.868,1.0,0.737,0.9405,0.996,0.89,0.985,0.9975
0.998,1.0,0.94,1.0,0.942,0.8645,0.9915,0.9505,0.977,1.0
0.7635,0.6105,0.6435,0.632,0.3905,0.731,0.509,0.832,0.7265,0.8665
0.9925,0.9935,0.333,0.999,0.6815,0.972,0.996,0.8655,0.7895,0.9685
0.9935,0.9195,0.8745,0.917,0.6495,0.894,0.996,0.8665,0.5085,0.9985
1.0,0.9995,0.9935,1.0,0.937,0.973,0.996,0.974,0.936,0.994
0.9975,0.991,0.9385,1.0,0.749,0.9445,1.0,0.973,0.984,1.0
0.9995,0.994,0.597,1.0,0.886,0.911,0.997,0.954,1.0,1.0
1.0,0.999,0.9965,1.0,0.84,0.936,0.9855,0.8775,0.636,1.0
0.9595,0.877,0.9635,0.797,0.724,0.8295,0.593,0.7705,0.956,1.0
0.9985,0.9945,0.9595,0.937,0.6815,0.9425,0.993,0.8275,0.813,0.9955
1.0,1.0,0.998,1.0,0.9405,0.965,0.992,1.0,0.9995,1.0
0.8895,0.9585,0.5735,0.758,0.7585,0.885,0.9945,0.5975,0.4025,0.998
0.9995,0.9995,0.9335,0.9995,0.7995,0.9375,0.998,0.989,0.981,0.997
0.9985,0.999,0.986,1.0,0.46,0.9375,0.994,0.976,0.981,1.0
0.892,0.9855,0.774,0.9815,0.3985,0.8905,0.9855,0.872,0.9875,0.9995
1.0,1.0,0.96,1.0,0.749,0.962,0.9985,0.9925,0.9855,1.0
0.939,0.9995,0.841,1.0,0.7665,0.939,0.997,0.8975,0.996,0.999
0.8175,0.367,0.27,0.539,0.284,0.013,0.1405,0.6465,0.414,0.7335
1.0,1.0,0.906,1.0,0.5925,0.882,0.9945,0.953,0.9945,1.0
1.0,0.995,0.9875,1.0,0.9085,0.9115,0.981,0.896,0.9875,0.9995
0.981,0.9965,0.796,1.0,0.875,0.8675,0.99,0.981,0.9995,1.0
0.999,0.9965,0.859,1.0,0.7425,0.918,0.988,0.9655,0.9875,0.9995
0.996,0.981,0.9945,0.9985,0.8445,0.9525,0.9975,0.8905,0.9435,1.0
0.9685,0.998,0.793,1.0,0.8095,0.942,0.997,0.7805,0.995,0.997
0.999,0.9925,0.835,1.0,0.8745,0.9075,0.997,0.948,0.993,1.0
0.9335,0.858,0.914,0.9905,0.4935,0.904,0.9875,0.711,0.867,0.9955
0.9815,1.0,0.6975,1.0,0.388,0.9435,0.9915,0.721,0.938,0.997
0.957,0.999,0.943,1.0,0.4705,0.8985,0.991,0.904,0.974,0.9995
0.9995,0.9985,0.963,1.0,0.9095,0.9205,1.0,0.5875,0.8225,0.9955
0.9935,1.0,0.9985,0.9925,0.9535,0.948,0.9995,0.902,0.9985,1.0
